epoch,train_loss,val_loss,train_rmse,val_rmse
1,0.43476024101137634,0.3782304537296295,7.520860463897208,7.116487467542566
2,0.4258451436255728,0.3782304537296295,7.489783395767394,7.116487467542566
3,0.41890215617885074,0.3782304537296295,7.489783396018615,7.116487467542566
4,0.4309497614911043,0.3782304537296295,7.489783394071649,7.116487467542566
5,0.4268784422472299,0.3782304537296295,7.48978341737244,7.116487467542566
6,0.43129615461730575,0.3782304537296295,7.489783395767394,7.116487467542566
7,0.4289400005218934,0.3782304537296295,7.4897834249404855,7.116487467542566
8,0.42055597055235855,0.3782304537296295,7.489783414734614,7.116487467542566
9,0.42648785531401157,0.3782304537296295,7.489783391559435,7.116487467542566
10,0.42313910534064614,0.3782304537296295,7.4897834371875325,7.116487467542566
11,0.43340944988472807,0.3782304537296295,7.489783404246118,7.116487467542566
12,0.4331663456341998,0.3782304537296295,7.489783405690642,7.116487467542566
13,0.43159130634739995,0.3782304537296295,7.4897834141693655,7.116487467542566
